id,rle_mask
0005bb9630,
000a68e46c,
000c8dfb2a,
000d0a5f6c,
001ef8fc87,1 7365 7374 83 7475 76 7576 71 7677 64 7778 55 7879 47 7980 42 8081 35 8201 10
002124aa19,2523 3 2618 9 2713 15 2809 20 2905 25 3001 30 3097 35 3178 55 3269 65 3358 77 3448 6754
002af5d1e8,7879 2 7980 10 8081 17 8182 24 8283 29 8384 35 8485 41 8586 47 8687 53 8788 60 8889 72 8990 79 9091 90 9192 1010
00323f1910,9391 3 9490 5 9589 7 9688 9 9786 12 9885 14 9984 16 10084 17 10183 19
00329dc15c,
0035c56490,
0041cb8c49,1 1312 1314 98 1415 96 1516 94 1617 92 1718 91 1819 89 1920 87 2021 83 2122 81 2223 80 2324 78 2425 77 2526 75 2627 74 2728 73 2829 71 2930 70 3031 69 3132 68 3233 67 3334 66 3435 64 3536 63 3637 61 3738 59 3839 58 3940 57 4041 56 4142 55 4243 54 4344 53 4445 52 4546 51 4647 49 4748 47 4849 45 4950 43 5051 41 5152 40 5253 38 5354 37 5455 36 5556 35 5657 33 5758 32 5859 31 5960 30 6061 30 6162 29 6263 29 6364 29 6465 28 6566 28 6667 28 6768 28 6869 28 6970 27 7071 27 7172 27 7273 27 7374 26 7475 26 7576 26 7677 25 7778 25 7879 25 7980 25 8081 24 8182 24 8283 24 8384 24 8485 24 8586 23 8687 23 8788 23 8889 23 8990 23 9091 23 9192 23 9293 23 9394 22 9495 22 9596 22 9697 22 9798 22 9899 21 10000 21 10101 21
0043a01a19,4746 2 4807 5 4846 3 4905 11 4946 4 5005 16 5034 17 5106 46 5206 47 5306 48 5406 49 5506 50 5604 53 5701 57 5778 81 5871 89 5969 92 6070 92 6170 93 6271 93 6371 94 6472 94 6572 95 6672 96 6772 97 6872 98 6971 3231
00565e793d,
005855cd72,
005b02dd7c,4744 4 4840 9 4935 15 5031 20 5126 26 5223 30 5320 34 5417 38 5514 42 5612 45 5710 48 5808 51 5906 54 6005 56 6103 59 6202 61 6300 64 6398 67 6496 70 6594 73 6692 76 6790 79 6888 82 6986 85 7079 3123
0066451ce3,1 908 910 99 1011 98 1112 98 1213 97 1314 98 1415 98 1516 98 1617 98 1718 98 1819 97 1920 97 2021 95 2122 94 2223 92 2324 90 2425 88 2526 86 2627 85 2728 84 2829 83 2930 82 3031 81 3132 81 3233 80 3334 79 3435 77 3536 75 3637 74 3738 73 3839 72 3940 71 4041 70 4142 70 4243 70 4344 70 4445 70 4546 71 4647 71 4748 72 4849 72 4950 73 5051 73 5152 73 5253 74 5354 74 5455 73 5556 72 5657 70 5758 67 5859 64 5960 61 6061 59 6162 58 6263 56 6364 55 6465 53 6566 51 6667 49 6768 46 6869 43 6970 39 7071 35 7172 31 7273 24 7374 15 7475 13 7576 12 7677 11 7778 10 7879 10 7980 11 8081 11 8182 11 8283 12 8384 12 8485 12 8586 13 8687 13 8788 13 8889 13 8990 13 9091 14 9192 14 9293 15 9394 16 9495 17 9596 17 9697 18 9798 19 9899 19 10000 19 10101 20
00690a4185,1 12 102 10 203 9 304 7 405 4
006d9df08a,
8758e2ddb4,1 67 102 67 203 66 304 66 405 66 506 65 607 65 708 65 809 64 910 64 1011 63 1112 63 1213 62 1314 62 1415 62 1516 61 1617 61 1718 61 1819 60 1920 60 2021 59 2122 58 2223 58 2324 57 2425 57 2526 57 2627 56 2728 55 2829 55 2930 54 3031 54 3132 53 3233 53 3334 52 3435 52 3536 51 3637 51 3738 50 3839 50 3940 50 4041 49 4142 49 4243 49 4344 49 4445 49 4546 49 4647 49 4748 49 4849 49 4950 49 5051 49 5152 49 5253 49 5354 49 5455 48 5556 48 5657 48 5758 47 5859 47 5960 46 6061 46 6162 46 6263 45 6364 45 6465 44 6566 44 6667 44 6768 43 6869 42 6970 42 7071 41 7172 41 7273 40 7374 39 7475 39 7576 38 7677 38 7778 37 7879 36 7980 36 8081 35 8182 35 8283 35 8384 34 8485 34 8586 34 8687 34 8788 33 8889 33 8990 33 9091 33 9192 33 9293 33 9394 33 9495 34 9596 35 9697 35 9798 37 9899 38 10000 39 10101 41
875b8313fa,1 8280 8283 98 8384 98 8485 97 8586 97 8687 97 8788 97 8889 96 8990 96 9091 96 9192 96 9293 96 9394 95 9495 95 9596 94 9697 94 9798 93 9899 93 10000 93 10101 92
875c61e40c,1 12 102 10 203 9 304 7 405 4
